Артикул,Артикул Каспи,Название,Ссылка,Статус,NTIN,Город,Цена,Цена 1 места,Цена закупа,Автоснижение,Мин.цена,Автоповышение,Макс.цена,Шаг демпинга,Позиция,Остатки,Предзаказ
111968486_274764603,111968486,Лапшерезка 824186 механическая,https://kaspi.kz/shop/p/lapsherezka-824186-mehanicheskaja-111968486/,Снято с продажи,,Астана,7100,0,0,0,0,0,0,0,0,0,0
122837230_178366611,122837230,"Форма baking dish, силикон",https://kaspi.kz/shop/p/forma-baking-dish-silikon-122837230/,Опубликовано,,Астана,1900,0,0,0,0,0,0,0,0,0,0
137859454_121632965,137859454,"Декоративная свеча коллекция клубнички 3.6 см, 4 шт",https://kaspi.kz/shop/p/dekorativnaja-svecha-kollektsija-klubnichki-3-6-sm-4-sht-137859454/,Снято с продажи,,Астана,500,0,0,0,0,0,0,0,0,0,0
136970124_839041034,136970124,"Ершик модель 1 шт, дерево, нержавеющая сталь",https://kaspi.kz/shop/p/ershik-model-1-sht-derevo-nerzhavejuschaja-stal--136970124/,Опубликовано,,Астана,2300,0,0,0,0,0,0,0,0,0,0
137768286_366643325,137768286,"Декоративная свеча коллекция клубничка 4.2 см, 4 шт",https://kaspi.kz/shop/p/dekorativnaja-svecha-kollektsija-klubnichka-4-2-sm-4-sht-137768286/,Снято с продажи,,Астана,700,0,0,0,0,0,0,0,0,0,0
136288358_551955252,122941111,Hello Kitty резинка 1 шт,https://kaspi.kz/shop/p/hello-kitty-rezinka-1-sht-122941111/,Опубликовано,,Астана,900,0,0,0,0,0,0,0,0,0,0
137832837_176235794,137832837,Держатель черный,https://kaspi.kz/shop/p/derzhatel-chernyi-137832837/,Снято с продажи,,Астана,4700,0,0,0,0,0,0,0,0,0,0
136965514_559871017,136965514,"Для льда 1, пластик",https://kaspi.kz/shop/p/dlja-l-da-1-plastik-136965514/,Опубликовано,,Астана,6400,0,0,0,0,0,0,0,0,0,0
136965111_959561295,136965111,"Для льда, для мармелада, для шоколада, для мороженого, для леденцов 1, силикон",https://kaspi.kz/shop/p/dlja-l-da-dlja-marmelada-dlja-shokolada-dlja-morozhenogo-dlja-ledentsov-1-silikon-136965111/,Снято с продажи,,Астана,3890,0,0,0,0,0,0,0,0,0,0
109553975_093207192,109553975,Ручка для переноски 45367 голубой 1 шт,https://kaspi.kz/shop/p/ruchka-dlja-perenoski-45367-goluboi-1-sht-109553975/,Снято с продажи,,Астана,400,0,0,0,0,0,0,0,0,0,0
112892231_675091266,112892231,Кастрюля 914530 стекло 1.6,https://kaspi.kz/shop/p/kastrjulja-914530-steklo-1-6-112892231/,Снято с продажи,,Астана,3700,0,0,0,0,0,0,0,0,0,0
115794383_011238454,115794383,Пробка для бутылки 523345 голубой 1 шт,https://kaspi.kz/shop/p/probka-dlja-butylki-523345-goluboi-1-sht-115794383/,Снято с продажи,,Астана,900,0,0,0,0,0,0,0,0,0,0
134250003_302526023,134250003,"Бокал для виски/коньяка 036046320, стекло",https://kaspi.kz/shop/p/bokal-dlja-viski-kon-jaka-036046320-steklo-134250003/,Опубликовано,,Астана,2980,0,0,0,0,0,0,0,0,0,0
108616437_143524688,108616437,Of!t OJR105 скоростная с подшипником 300 см серый,https://kaspi.kz/shop/p/of-t-ojr105-skorostnaja-s-podshipnikom-300-sm-seryi-108616437/,Снято с продажи,,Астана,1214,1118,0,1,1046,1,0,0,0,0,0
121702297_534735881,121702297,30 серый,https://kaspi.kz/shop/p/30-seryi-121702297/,Снято с продажи,,Астана,6500,4599,0,0,6500,0,0,0,0,0,0
119221477_046688388,119221477,"Крючок b1g 10 шт, силикон, нержавеющая сталь",https://kaspi.kz/shop/p/krjuchok-b1g-10-sht-silikon-nerzhavejuschaja-stal--119221477/,Снято с продажи,,Астана,170,0,0,0,0,0,0,0,0,0,0
103548420_084719921,103548420,"Супермаркет Посуды крючок 8765743 10 шт, металл",https://kaspi.kz/shop/p/supermarket-posudy-krjuchok-8765743-10-sht-metall-103548420/,Снято с продажи,,Астана,180,167,0,1,150,1,0,0,0,0,0
118810612_535749107,118810612,SAMTRONIC SM2120,https://kaspi.kz/shop/p/samtronic-sm2120-118810612/,Снято с продажи,,Астана,25140,24001,0,0,21600,0,0,0,0,0,0
130909063_897190457,130909063,Проекционный M2 черный,https://kaspi.kz/shop/p/proektsionnyi-m2-chernyi-130909063/,Снято с продажи,,Астана,2391,2999,0,1,2300,1,0,0,0,0,0
117442374_3249898724,117442374,Z89562,https://kaspi.kz/shop/p/z89562-117442374/,Снято с продажи,,Астана,2787,2798,0,1,2656,1,0,0,0,0,0
122331806_023984082,122331806,Водородная бутылка 30195370_008710644 420 мл прозрачный,https://kaspi.kz/shop/p/vodorodnaja-butylka-30195370-008710644-420-ml-prozrachnyi-122331806/,Снято с продажи,,Астана,4300,7212,0,0,6874,0,0,0,0,0,0
115432886_474666129,115432886,Пол Premier Fishing PR-P-2x2,https://kaspi.kz/shop/p/pol-premier-fishing-pr-p-2x2-115432886/,Снято с продажи,,Астана,2000,2499,0,0,2105,0,0,0,0,0,0
115432936_006862053,115432936,Пол Premier Fishing PR-P-2x2,https://kaspi.kz/shop/p/pol-premier-fishing-pr-p-2x2-115432936/,Снято с продажи,,Астана,2000,2498,0,0,2105,0,0,0,0,0,0
124556776_111813357,124556776,Проекционный M2 черный,https://kaspi.kz/shop/p/proektsionnyi-m2-chernyi-124556776/,Снято с продажи,,Астана,2300,2300,0,1,2300,1,0,0,0,0,0
442196494,142188204,Сумка 30397554_442196494 черный,https://kaspi.kz/shop/p/sumka-30397554-442196494-chernyi-142188204/,Снято с продажи,,Астана,1000,0,0,0,0,0,0,0,0,0,0
289977714,142188192,Сумка 30397554_289977714 черный,https://kaspi.kz/shop/p/sumka-30397554-289977714-chernyi-142188192/,Снято с продажи,,Астана,1000,0,0,0,0,0,0,0,0,0,0
129981747_215481923,129981747,Водородная бутылка 30195370_014915942 420 мл прозрачный,https://kaspi.kz/shop/p/vodorodnaja-butylka-30195370-014915942-420-ml-prozrachnyi-129981747/,Снято с продажи,,Астана,4300,6892,0,0,6874,0,0,0,0,0,0
114800954_880979025,114800954,"Ароматическая свеча Роза 747SAR 6 см, 1 шт",https://kaspi.kz/shop/p/aromaticheskaja-svecha-roza-747sar-6-sm-1-sht-114800954/,Снято с продажи,,Астана,800,0,0,0,0,0,0,0,0,0,0
23465332188,133763296,"Подушка для шеи 950788323 пенополиуретан, пена с памятью формы, 26x28 см",https://kaspi.kz/shop/p/podushka-dlja-shei-950788323-penopoliuretan-pena-s-pamjat-ju-formy-26x28-sm-133763296/,Снято с продажи,,Астана,2000,1699,0,1,2000,1,0,0,0,0,0
11779264733,112283891,Коландер для мойки 180766 46x23 см,https://kaspi.kz/shop/p/kolander-dlja-moiki-180766-46x23-sm-112283891/,Снято с продажи,,Астана,2239,3999,0,1,2797,1,0,0,0,0,0
120578222_583525076,120578222,"Ароматическая свеча Jasmine 4 см, 1 шт",https://kaspi.kz/shop/p/aromaticheskaja-svecha-jasmine-4-sm-1-sht-120578222/,Снято с продажи,,Астана,800,0,0,0,0,0,0,0,0,0,0
108960882_17883939,108960882,Корзина для мойки 29921378483 44x21.5 см,https://kaspi.kz/shop/p/korzina-dlja-moiki-29921378483-44x21-5-sm-108960882/,Снято с продажи,,Астана,1933,38999,0,1,2797,1,0,0,0,0,0
121124020_76677899,121124020,WIFI,https://kaspi.kz/shop/p/wifi-121124020/,Снято с продажи,,Астана,4440,4441,0,1,3450,1,0,0,0,0,0
563915462,142556633,Микрофон Lavalier L16 черный,https://kaspi.kz/shop/p/mikrofon-lavalier-l16-chernyi-142556633/,Опубликовано,,Астана,4900,0,0,0,0,0,0,0,0,0,0
132159066_410956727,132159066,универсальный черный,https://kaspi.kz/shop/p/universal-nyi-chernyi-132159066/,Опубликовано,,Астана,19000,0,0,0,0,0,0,0,0,0,0
117486185_6728289,117486185,С ручками и карманом 100*60,https://kaspi.kz/shop/p/s-ruchkami-i-karmanom-100-60-117486185/,Снято с продажи,,Астана,3054,3898,0,1,3000,1,0,0,0,0,0
108777044_49792734298,108777044,10004 набивная серый,https://kaspi.kz/shop/p/10004-nabivnaja-seryi-108777044/,Снято с продажи,,Астана,2000,1716,0,1,2000,1,0,0,0,0,0
117527884_788299789,117527884,гирлянда уличная 30 метров,https://kaspi.kz/shop/p/girljanda-ulichnaja-30-metrov-117527884/,Снято с продажи,,Астана,11889,12568,0,0,12000,0,23000,0,0,0,0
136259725_288292929,136259725,Микротоковый массажер,https://kaspi.kz/shop/p/mikrotokovyi-massazher-136259725/,Опубликовано,,Астана,1574,1554,0,0,1500,0,0,0,2,0,0
113396144_7373883829,113396144,"Горшок дорожный, складной Gray-04 серый",https://kaspi.kz/shop/p/gorshok-dorozhnyi-skladnoi-gray-04-seryi-113396144/,Снято с продажи,,Астана,6300,4900,0,1,6300,1,0,0,0,0,0
137453396_73738839,137453396,"Горшок Горшок складной, дорожный серый",https://kaspi.kz/shop/p/gorshok-gorshok-skladnoi-dorozhnyi-seryi-137453396/,Снято с продажи,,Астана,6899,6900,0,1,4300,1,0,0,0,0,0
119220282_1356487956320,110433043,"Горшок дорожный складной 17349510_210476, серый",https://kaspi.kz/shop/p/gorshok-dorozhnyi-skladnoi-17349510-210476-seryi-110433043/,Снято с продажи,,Астана,4477,4478,0,1,4300,1,0,0,0,0,0
112526128_7277282828,112526128,Горшок дорожный складной 18603049_535229 серый,https://kaspi.kz/shop/p/gorshok-dorozhnyi-skladnoi-18603049-535229-seryi-112526128/,Снято с продажи,,Астана,4467,4468,0,1,4300,1,0,0,0,0,0
103497148_272828929,103497148,"BIO SPA GDS-NB518-2, металл",https://kaspi.kz/shop/p/bio-spa-gds-nb518-2-metall-103497148/,Опубликовано,,Астана,3899,3598,0,0,3600,0,0,0,0,0,0
129524471_637383888,129524471,"Ходунки-каталка 17480301_235000559, мин. возраст 7 месяцев, серый",https://kaspi.kz/shop/p/hodunki-katalka-17480301-235000559-min-vozrast-7-mesjatsev-seryi-129524471/,Снято с продажи,,Астана,16524,16999,0,0,22143,1,0,0,0,0,0
115029503_42977299,115029503,Обруч массажный розовый 127 см,https://kaspi.kz/shop/p/obruch-massazhnyi-rozovyi-127-sm-115029503/,Опубликовано,,Астана,2700,3077,0,0,2850,0,0,0,4,0,0
103487320_234792847,103487320,Обруч Aoshen гимнастический розовый 100 см,https://kaspi.kz/shop/p/obruch-aoshen-gimnasticheskii-rozovyi-100-sm-103487320/,Опубликовано,,Астана,2700,2999,0,0,2835,0,0,0,1,0,0
135178062_7288293939,135178062,"Массажер Массажный магнитный коврик для ног MaiSonix коврик акупунктурный, вибрационный, надавливающий, разминающий, разогревающий, роликовый",https://kaspi.kz/shop/p/massazher-massazhnyi-magnitnyi-kovrik-dlja-nog-maisonix-kovrik-akupunkturnyi-vibratsionnyi-nadavlivajuschii-razminajuschii-razogrevajuschii-rolikovyi-135178062/,Снято с продажи,,Астана,1271,1286,0,1,1000,1,0,0,0,0,0
120028110_92349739,120028110,"Подушка 230062414 латекс, хлопок, 26x28 см",https://kaspi.kz/shop/p/podushka-230062414-lateks-hlopok-26x28-sm-120028110/,Опубликовано,,Астана,1797,1388,0,0,1800,0,0,0,0,0,0
119359446_350174176,132565720,30336716_376814853,https://kaspi.kz/shop/p/30336716-376814853-132565720/,Снято с продажи,,Астана,348,1150,0,1,900,1,0,0,0,0,0
119359446_005059290,119359446,15421238_535007124,https://kaspi.kz/shop/p/15421238-535007124-119359446/,Снято с продажи,,Астана,348,399,0,1,250,1,0,0,0,0,0
139950673_54513131,139950673,Зажим Slidelock mini 4 шт,https://kaspi.kz/shop/p/zazhim-slidelock-mini-4-sht-139950673/,Снято с продажи,,Астана,850,861,0,0,862,0,0,0,2,0,0
132247235_652323233,132247235,Подхват для штор статичный держатель 566669423 петли 26 см 2 шт,https://kaspi.kz/shop/p/podhvat-dlja-shtor-statichnyi-derzhatel-566669423-petli-26-sm-2-sht-132247235/,Опубликовано,,Астана,3506,3680,0,0,3610,0,0,0,0,0,0
137923334_56451312312,137923334,Зажим Slidelock 4 шт,https://kaspi.kz/shop/p/zazhim-slidelock-4-sht-137923334/,Опубликовано,,Астана,1749,1744,0,0,1121,0,0,0,0,0,0
129822157_88792213,129822157,"Подушка Для новорожденных детей бамбуковое волокно, хлопок, 26x28 см",https://kaspi.kz/shop/p/podushka-dlja-novorozhdennyh-detei-bambukovoe-volokno-hlopok-26x28-sm-129822157/,Опубликовано,,Астана,2300,2800,0,0,2800,0,0,0,0,0,0
136892247_252121313,136892247,"Крючок 24121401 1 шт, металл, силикон",https://kaspi.kz/shop/p/krjuchok-24121401-1-sht-metall-silikon-136892247/,Снято с продажи,,Астана,100,0,0,0,0,0,0,0,0,0,0
119220282_1356487956319,112435766,Dpets серый 60x45 см,https://kaspi.kz/shop/p/dpets-seryi-60x45-sm-112435766/,Снято с продажи,,Астана,1363,1764,0,0,1800,0,0,0,0,0,0
131093290_8545313123,131093290,Зажим Mono 4 шт,https://kaspi.kz/shop/p/zazhim-mono-4-sht-131093290/,Опубликовано,,Астана,490,578,0,0,326,0,0,0,0,0,0
129089020_5454132131,129089020,"Подушка-валик для новорожденных позиционер, хлопок, 30x42 см",https://kaspi.kz/shop/p/podushka-valik-dlja-novorozhdennyh-pozitsioner-hlopok-30x42-sm-129089020/,Снято с продажи,,Астана,2292,2293,0,0,2090,0,0,0,0,0,0
110828349_8445353131,110828349,Микротоковый массажер,https://kaspi.kz/shop/p/mikrotokovyi-massazher-110828349/,Снято с продажи,,Астана,3000,0,0,0,0,0,0,0,0,0,0
106253601_564561132,106253601,TANORA микротоковый массажер,https://kaspi.kz/shop/p/tanora-mikrotokovyi-massazher-106253601/,Снято с продажи,,Астана,3000,0,0,0,0,0,0,0,0,0,0
105611216_79099041,105611216,"PROSPERO декоративный светильник с эффектом заката NB604-3, стекло",https://kaspi.kz/shop/p/prospero-dekorativnyi-svetil-nik-s-effektom-zakata-nb604-3-steklo-105611216/,Снято с продажи,,Астана,1631,1718,0,0,1500,0,0,0,0,0,0
106284042_98172987,106284042,"The Plum Plum декоративный светильник Sunset Lamp, металл, пластик",https://kaspi.kz/shop/p/the-plum-plum-dekorativnyi-svetil-nik-sunset-lamp-metall-plastik-106284042/,Снято с продажи,,Астана,1635,1768,0,0,1500,0,0,0,0,0,0
118697087_281433030,118697087,Портплед 30186887_250711942 полиэстер 50 л,https://kaspi.kz/shop/p/portpled-30186887-250711942-poliester-50-l-118697087/,Опубликовано,,Астана,4483,0,0,0,0,0,0,0,0,0,0
117183846_8956415313,117183846,Настольный органайзер 003 белый,https://kaspi.kz/shop/p/nastol-nyi-organaizer-003-belyi-117183846/,Снято с продажи,,Астана,2200,1596,0,1,2200,1,0,0,0,0,0
129872891_451313,129872891,Щетка 14269013_007 Расчёска для вычесавания шерсти на кнопке серый,https://kaspi.kz/shop/p/schetka-14269013-007-raschjoska-dlja-vychesavanija-shersti-na-knopke-seryi-129872891/,Снято с продажи,,Астана,483,520,0,1,412,1,0,0,0,0,0
200175438,143879116,"Набор кухонных инструментов 30397554_200175438 12 шт, нержавеющая сталь, силикон",https://kaspi.kz/shop/p/nabor-kuhonnyh-instrumentov-30397554-200175438-12-sht-nerzhavejuschaja-stal-silikon-143879116/,Снято с продажи,,Астана,6700,0,0,0,0,0,0,0,0,0,0
116911683_5451123,131512672,Органайзер для моющих средств R-0013 31x10.7 см 31x10.7 см,https://kaspi.kz/shop/p/organaizer-dlja-mojuschih-sredstv-r-0013-31x10-7-sm-31x10-7-sm-131512672/,Снято с продажи,,Астана,3899,4100,0,1,3900,1,0,0,0,0,0
106226551_5645613,106226551,PANDA расческа G101 серый,https://kaspi.kz/shop/p/panda-rascheska-g101-seryi-106226551/,Снято с продажи,,Астана,750,0,0,0,0,0,0,0,0,0,0
119220282_1356487956321,110699024,"Набор держателей для ванной V-2303 7 шт., нержавеющая сталь",https://kaspi.kz/shop/p/nabor-derzhatelei-dlja-vannoi-v-2303-7-sht-nerzhavejuschaja-stal--110699024/,Снято с продажи,,Астана,7000,6153,0,0,6046,0,0,0,0,0,0
133435958_85453132,133435958,"Насадка для ершика G0172Q, поролон",https://kaspi.kz/shop/p/nasadka-dlja-ershika-g0172q-porolon-133435958/,Снято с продажи,,Астана,2626,2687,0,1,1900,1,0,0,0,0,0
110649990_5453312,110649990,"Набор крючков NK0078 4 шт, металл",https://kaspi.kz/shop/p/nabor-krjuchkov-nk0078-4-sht-metall-110649990/,Снято с продажи,,Астана,734,999,0,0,1000,0,0,0,2,0,0
107938461_78451513,107938461,"Набор держателей для полотенец OS-143 3 шт, нержавеющая сталь",https://kaspi.kz/shop/p/nabor-derzhatelei-dlja-polotenets-os-143-3-sht-nerzhavejuschaja-stal--107938461/,Снято с продажи,,Астана,3687,3441,0,0,2800,0,0,0,0,0,0
108670607_8545313,108670607,"Save box, пластик",https://kaspi.kz/shop/p/save-box-plastik-108670607/,Опубликовано,,Астана,1500,1665,0,0,1400,0,0,0,0,0,0
131186595_5435123,131186595,"Держатель S-5 5 шт, металл",https://kaspi.kz/shop/p/derzhatel-s-5-5-sht-metall-131186595/,Снято с продажи,,Астана,2898,0,0,0,0,0,0,0,0,0,0
119220282_1356487956327,134010886,"Набор держателей 228167066 4 шт, металл",https://kaspi.kz/shop/p/nabor-derzhatelei-228167066-4-sht-metall-134010886/,Снято с продажи,,Астана,4999,4999,0,0,4000,0,4999,0,0,0,0
136398979_455123123,136398979,Садовая сова белая на солнечной батарее 43 см,https://kaspi.kz/shop/p/sadovaja-sova-belaja-na-solnechnoi-bataree-43-sm-136398979/,Снято с продажи,,Астана,1850,2139,0,0,1800,0,0,0,0,0,0
102638498_525223123,102638498,THERMOS TP-700 13 серебристый,https://kaspi.kz/shop/p/thermos-tp-700-13-serebristyi-102638498/,Снято с продажи,,Астана,1961,2299,0,0,2035,0,0,0,0,0,0
116461701_856453131,116461701,Наборы для слепков розовый,https://kaspi.kz/shop/p/nabory-dlja-slepkov-rozovyi-116461701/,Опубликовано,,Астана,7989,7999,0,0,7350,0,0,0,1,0,0
123554737_854313,123554737,Наборы для слепков голубой,https://kaspi.kz/shop/p/nabory-dlja-slepkov-goluboi-123554737/,Опубликовано,,Астана,7499,6910,0,0,7350,0,0,0,4,0,0
116911683_883839393,116911683,Органайзер для моющих средств R-0013 31x10.7 см,https://kaspi.kz/shop/p/organaizer-dlja-mojuschih-sredstv-r-0013-31x10-7-sm-116911683/,Снято с продажи,,Астана,3899,3500,0,1,3950,1,0,0,0,0,0
129276000_541123123,129276000,Наборы для слепков розовый,https://kaspi.kz/shop/p/nabory-dlja-slepkov-rozovyi-129276000/,Опубликовано,,Астана,7989,6499,0,0,7350,0,0,0,4,0,0
109252388_545132123,109252388,Gushiyuta лифтинг массажер для лица,https://kaspi.kz/shop/p/gushiyuta-lifting-massazher-dlja-litsa-109252388/,Опубликовано,,Астана,1577,1515,0,0,1500,0,0,0,0,0,0
943357730,144449167,"Ластик-карандаш 943357730, 2 шт",https://kaspi.kz/shop/p/lastik-karandash-943357730-2-sht-144449167/,Снято с продажи,,Астана,950,0,0,0,0,0,0,0,0,0,0
116839947_083867673,116839947,"Ластик-карандаш 17270120_932299556, 2 шт",https://kaspi.kz/shop/p/lastik-karandash-17270120-932299556-2-sht-116839947/,Снято с продажи,,Астана,950,0,0,0,0,0,0,0,0,0,0
122112467_846551332,122112467,"Ластик-карандаш 30105439_182901669, 2 шт",https://kaspi.kz/shop/p/lastik-karandash-30105439-182901669-2-sht-122112467/,Снято с продажи,,Астана,1200,0,0,0,0,0,0,0,0,0,0
122090919_845543112,122090919,"Ластик-карандаш 692368419, 2 шт",https://kaspi.kz/shop/p/lastik-karandash-692368419-2-sht-122090919/,Снято с продажи,,Астана,1200,0,0,0,0,0,0,0,0,0,0
122848732_5464131132,122848732,"Держатель 30105439_208140101, пластик",https://kaspi.kz/shop/p/derzhatel-30105439-208140101-plastik-122848732/,Снято с продажи,,Астана,950,947,0,1,750,1,0,0,0,0,0
113144749_845123132,113144749,"Набор кухонных инструментов 921485 12 шт, силикон",https://kaspi.kz/shop/p/nabor-kuhonnyh-instrumentov-921485-12-sht-silikon-113144749/,Снято с продажи,,Астана,7882,7899,0,1,7823,1,0,0,0,0,0
116481203_8451332,116481203,Подвеска Худи чехол на рычаг коробки передач КПП авто красный,https://kaspi.kz/shop/p/podveska-hudi-chehol-na-rychag-korobki-peredach-kpp-avto-krasnyi-116481203/,Снято с продажи,,Астана,390,499,0,0,500,0,0,0,0,0,0
119220282_1356487956328,112063320,"Набор бармена для приготовления напитков и коктейлей 12 предметов серебристый, коричневый",https://kaspi.kz/shop/p/nabor-barmena-dlja-prigotovlenija-napitkov-i-kokteilei-12-predmetov-serebristyi-korichnevyi-112063320/,Опубликовано,,Астана,14988,11968,0,0,10000,0,0,0,1,0,0
110411042_855312123,110411042,Барная ложка 131827 серебристый,https://kaspi.kz/shop/p/barnaja-lozhka-131827-serebristyi-110411042/,Снято с продажи,,Астана,750,754,0,0,537,0,0,0,0,0,0
103489718_844533531,103489718,Проотель джиггер JI23 серебристый,https://kaspi.kz/shop/p/prootel-dzhigger-ji23-serebristyi-103489718/,Снято с продажи,,Астана,550,465,0,0,500,0,0,0,0,0,0
110428555_8451313,110428555,Джиггер J21 серебристый,https://kaspi.kz/shop/p/dzhigger-j21-serebristyi-110428555/,Снято с продажи,,Астана,550,574,0,0,525,0,0,0,0,0,0
113221787_87451312123,113221787,Барная ложка 17920290_ложка барная капля 354015 серебристый,https://kaspi.kz/shop/p/barnaja-lozhka-17920290-lozhka-barnaja-kaplja-354015-serebristyi-113221787/,Снято с продажи,,Астана,750,0,0,0,0,0,0,0,0,0,0
135078302_5641231235,135078302,"Lima диван прямой JANE, обивка вельвет, 68х150х60 см, зеленый",https://kaspi.kz/shop/p/lima-divan-prjamoi-jane-obivka-vel-vet-68h150h60-sm-zelenyi-135078302/,Снято с продажи,,Астана,100000,0,0,0,0,0,0,0,0,0,0
135078302_5641231235,135078302,"Lima диван прямой JANE, обивка вельвет, 68х150х60 см, зеленый",https://kaspi.kz/shop/p/lima-divan-prjamoi-jane-obivka-vel-vet-68h150h60-sm-zelenyi-135078302/,Снято с продажи,,Алматы,100000,0,0,0,0,0,0,0,0,0,0
119220282_1356487956331,118581037,Подушка G0951Q на сиденье 38x38 черный,https://kaspi.kz/shop/p/podushka-g0951q-na-siden-e-38x38-chernyi-118581037/,Опубликовано,,Астана,4746,0,0,0,0,0,0,0,0,0,0
115172665_8643513123,115172665,"Декоративный светильник 839394, пластик",https://kaspi.kz/shop/p/dekorativnyi-svetil-nik-839394-plastik-115172665/,Снято с продажи,,Астана,3296,2888,0,0,2700,0,0,0,0,0,0
119220282_1356487956333,116976883,"Ночник в розетку 30059119_755974677, пластик",https://kaspi.kz/shop/p/nochnik-v-rozetku-30059119-755974677-plastik-116976883/,Снято с продажи,,Астана,1167,1038,0,0,950,0,0,0,0,0,0
119220282_1356487956332,120929178,"Ночник в розетку 087514086, пластик",https://kaspi.kz/shop/p/nochnik-v-rozetku-087514086-plastik-120929178/,Снято с продажи,,Астана,899,985,0,0,877,0,0,0,0,0,0
110568369_73883939,117869993,Дождевик 18215021 50,https://kaspi.kz/shop/p/dozhdevik-18215021-50-117869993/,Снято с продажи,,Астана,3805,2400,0,0,2708,0,4700,0,0,0,0
110568369_67383893,110568369,Дождевик A Nano rlx-898474 48,https://kaspi.kz/shop/p/dozhdevik-a-nano-rlx-898474-48-110568369/,Снято с продажи,,Астана,3093,3368,0,0,2475,0,0,0,0,0,0
135932817_272882939,135932817,"Дождевик YH140312 48, 52",https://kaspi.kz/shop/p/dozhdevik-yh140312-48-52-135932817/,Снято с продажи,,Астана,791,800,0,0,800,0,0,0,0,0,0
104918689_88299290,104918689,XIMEIJIE ведро складное 3 л,https://kaspi.kz/shop/p/ximeijie-vedro-skladnoe-3-l-104918689/,Снято с продажи,,Астана,1000,807,0,0,800,0,0,0,0,0,0
110397698_389472924,110397698,"Доска сервировочная 170587, дерево",https://kaspi.kz/shop/p/doska-servirovochnaja-170587-derevo-110397698/,Опубликовано,,Астана,1078,1226,0,0,1400,0,0,0,0,0,0
106611187_427982430980,106611187,"Настольная лампа SZFSYSY-FTL20210309AA без цоколя, 5 Вт, пластик",https://kaspi.kz/shop/p/nastol-naja-lampa-szfsysy-ftl20210309aa-bez-tsokolja-5-vt-plastik-106611187/,Снято с продажи,,Астана,1544,1480,0,1,1500,1,0,0,0,0,0
107743288_87429789243,107743288,"BEROSSI органайзер для специй MIO 82319301, пластик",https://kaspi.kz/shop/p/berossi-organaizer-dlja-spetsii-mio-82319301-plastik-107743288/,Снято с продажи,,Астана,1950,0,0,0,0,0,0,0,0,0,0
133559597_492799423,133559597,"Архимед органайзер для специй 1203, пластик",https://kaspi.kz/shop/p/arhimed-organaizer-dlja-spetsii-1203-plastik-133559597/,Опубликовано,,Астана,1800,0,0,0,0,0,0,0,0,0,0
113948374_84353312123,113948374,5 в 1 Sport Fit для фитнеса синий,https://kaspi.kz/shop/p/5-v-1-sport-fit-dlja-fitnesa-sinii-113948374/,Снято с продажи,,Астана,5500,5999,0,0,6000,0,0,0,0,0,0
141939902_54123123321,141939902,NF123,https://kaspi.kz/shop/p/nf123-141939902/,Снято с продажи,,Астана,5643,0,0,0,0,0,0,0,0,0,0
108694783_8464312312,108694783,Тренажер для растяжки LaurenClay 42 см x 34 см розовый,https://kaspi.kz/shop/p/trenazher-dlja-rastjazhki-laurenclay-42-sm-x-34-sm-rozovyi-108694783/,Снято с продажи,,Астана,3997,3994,0,0,3516,0,0,0,0,0,0
118742745_45231123,118742745,Тренажер-платформа 30175103_915474965,https://kaspi.kz/shop/p/trenazher-platforma-30175103-915474965-118742745/,Снято с продажи,,Астана,2452,2499,0,0,2400,0,0,0,0,0,0
124511250_5412123312,124511250,Ароматизатор-увлажнитель пластиковый Sd0708 Океан 50 мл,https://kaspi.kz/shop/p/aromatizator-uvlazhnitel-plastikovyi-sd0708-okean-50-ml-124511250/,Снято с продажи,,Астана,4300,3984,0,1,4500,1,6300,0,0,0,0
117785078_8251213,117785078,Органайзер для моющих средств 550105363 23x11 см,https://kaspi.kz/shop/p/organaizer-dlja-mojuschih-sredstv-550105363-23x11-sm-117785078/,Снято с продажи,,Астана,3499,3006,0,0,3400,0,0,0,0,0,0
119220282_1356487956337,139312368,Фигурка Фигурка Sprunki 5 см 41 шт,https://kaspi.kz/shop/p/figurka-figurka-sprunki-5-sm-41-sht-139312368/,Снято с продажи,,Астана,7976,0,0,0,0,0,0,0,0,0,0
104023623_45123123,104023623,Экспертлайн баф для ногтей средняя 10 шт,https://kaspi.kz/shop/p/ekspertlain-baf-dlja-nogtei-srednjaja-10-sht-104023623/,Снято с продажи,,Астана,192,178,0,0,188,0,0,0,0,0,0
135282673_45123123,135282673,"Губка Черные губки для посуды 10 шт, поролон",https://kaspi.kz/shop/p/gubka-chernye-gubki-dlja-posudy-10-sht-porolon-135282673/,Снято с продажи,,Астана,800,989,0,1,900,1,0,0,0,0,0
113554496_81313231,113554496,"ER24, пластик",https://kaspi.kz/shop/p/er24-plastik-113554496/,Снято с продажи,,Астана,2636,2095,0,1,2400,1,0,0,0,0,0
129502797_84153123,129502797,"Со сменными насадками, пластик",https://kaspi.kz/shop/p/so-smennymi-nasadkami-plastik-129502797/,Снято с продажи,,Астана,2636,0,0,0,0,0,0,0,0,0,0
104324166_17283883,104324166,Shine systems щетка SS574 1 шт,https://kaspi.kz/shop/p/shine-systems-schetka-ss574-1-sht-104324166/,Снято с продажи,,Астана,720,500,0,1,700,1,0,0,0,0,0
